date,eu_rate,u_rate,emp2pop,inf_period,pre_period
2016-01-01,1.0520865830750135,4.8,69.1824,0,1
2016-02-01,1.054730719032192,4.9,69.25563000000001,0,1
2016-03-01,1.1830602176989513,5.0,69.2888,0,1
2016-04-01,1.1795543905635648,5.1,69.14931999999999,0,1
2016-05-01,1.1704999602996056,4.8,69.28461,0,1
2016-06-01,1.180376001005138,4.9,69.19604,0,1
2016-07-01,1.095978990986711,4.8,69.28648000000001,0,1
2016-08-01,1.1272969251345708,4.9,69.37606,0,1
2016-09-01,1.141268178253965,5.0,69.42274,0,1
2016-10-01,1.1337808726357606,4.9,69.43328000000001,0,1
2016-11-01,1.1812785448227752,4.7,69.55693000000001,0,1
2016-12-01,1.1277824878250753,4.7,69.56934,0,1
2017-01-01,1.0798412114201588,4.7,69.65012,0,1
2017-02-01,1.135230849947534,4.6,69.7306,0,1
2017-03-01,1.0348544735896514,4.4,70.0034,0,1
2017-04-01,1.09751720987896,4.4,70.08997,0,1
2017-05-01,1.0720655390706153,4.4,70.00386999999999,0,1
2017-06-01,1.117285641607639,4.3,70.09756999999999,0,1
2017-07-01,1.0737844226373812,4.3,70.18263,0,1
2017-08-01,1.1302710696207892,4.4,70.15225,0,1
2017-09-01,1.0467573208197762,4.3,70.47136,0,1
2017-10-01,1.0702497900513641,4.2,70.27228000000001,0,1
2017-11-01,1.0383277526738404,4.2,70.31317,0,1
2017-12-01,1.050005198045535,4.1,70.29718000000001,0,1
2018-01-01,0.9467378986563058,4.0,70.3198,0,1
2018-02-01,0.9813334020631842,4.1,70.60148000000001,0,1
2018-03-01,1.0913963946551213,4.0,70.55265,0,1
2018-04-01,1.0411301122901,4.0,70.53631999999999,0,1
2018-05-01,0.9103641456582634,3.8,70.71954000000001,0,1
2018-06-01,0.9578716246581322,4.0,70.69321,0,1
2018-07-01,0.9907394361687138,3.8,70.86845,0,1
2018-08-01,1.0449891964193847,3.8,70.57409,0,1
2018-09-01,0.9717014389642021,3.7,70.76535,0,1
2018-10-01,0.988547934344048,3.8,70.93558,0,1
2018-11-01,0.9564767963450973,3.8,70.98923,0,1
2018-12-01,0.984587130221851,3.9,71.00625,0,1
2019-01-01,0.9323458178634647,4.0,71.02844,0,1
2019-02-01,0.9205485041086808,3.8,71.06958,0,1
2019-03-01,0.9744672975922297,3.8,71.05906,0,1
2019-04-01,0.8536312849162011,3.7,71.14081,0,1
2019-05-01,0.8927375797884212,3.6,71.14714000000001,0,1
2019-06-01,1.00297649333469,3.6,71.2468,0,1
2019-07-01,0.9001517180963505,3.7,71.26839,0,1
2019-08-01,0.8635928758339722,3.6,71.41682,0,1
2019-09-01,0.8608112972798868,3.5,71.70876,0,1
2019-10-01,0.9555646661831027,3.6,71.71921,0,1
2019-11-01,0.8296087096306476,3.6,71.69408,0,1
2019-12-01,0.9480940539519658,3.6,71.69032,0,1
2020-01-01,,,,0,0
2020-02-01,,,,0,0
2020-03-01,,,,0,0
2020-04-01,,,,0,0
2020-05-01,,,,0,0
2020-06-01,,,,0,0
2020-07-01,,,,0,0
2020-08-01,,,,0,0
2020-09-01,,,,0,0
2020-10-01,,,,0,0
2020-11-01,,,,0,0
2020-12-01,,,,0,0
2021-01-01,1.36601446760804,6.4,68.18822,0,0
2021-02-01,1.2850475068080884,6.2,68.4632,0,0
2021-03-01,1.213456891744776,6.1,68.5883,0,0
2021-04-01,1.3343835426029746,6.1,68.64848,1,0
2021-05-01,1.1416504437918633,5.8,68.97712,1,0
2021-06-01,1.1790369989587042,5.9,69.10902,1,0
2021-07-01,1.1193077310781354,5.4,69.67486,1,0
2021-08-01,1.0433931484502448,5.1,69.68036,1,0
2021-09-01,0.9873702410899423,4.7,69.93178,1,0
2021-10-01,0.9153584722446997,4.5,70.22182,1,0
2021-11-01,1.0139522921622839,4.2,70.63809,1,0
2021-12-01,0.8174299643175164,3.9,70.82216,1,0
2022-01-01,1.071826369219998,4.0,70.71540999999999,1,0
2022-02-01,1.0393532912854224,3.8,70.8997,1,0
2022-03-01,0.9923770274199462,3.7,71.22434,1,0
2022-04-01,1.0614917886389978,3.7,71.19778000000001,1,0
2022-05-01,0.9780398792761621,3.6,71.3639,1,0
2022-06-01,0.9462724708085063,3.6,71.2354,1,0
2022-07-01,0.9819408813456507,3.5,71.32540999999999,1,0
2022-08-01,0.9512709862349198,3.6,71.48467,1,0
2022-09-01,0.8972986587746364,3.5,71.4171,1,0
2022-10-01,1.0164855940107382,3.6,71.30465,1,0
2022-11-01,1.0239295425438624,3.6,71.32973,1,0
2022-12-01,0.9450015383745973,3.5,71.61433000000001,1,0
2023-01-01,0.8725665815737407,3.5,71.66637,1,0
2023-02-01,0.899030518407681,3.6,71.7765,1,0
2023-03-01,0.869338109096336,3.5,71.86681,1,0
2023-04-01,0.8821300334215463,3.4,71.96016999999999,1,0
2023-05-01,1.0286325530485834,3.6,71.94111,1,0
2023-06-01,0.8970114114263352,3.6,71.98763000000001,0,0
2023-07-01,0.8667167133010306,3.5,71.94455,0,0
2023-08-01,0.9363678588016721,3.7,72.09208000000001,0,0
2023-09-01,0.9693883871607141,3.8,72.03027,0,0
2023-10-01,0.9614728523487851,3.9,71.99815,0,0
2023-11-01,0.9043400911752715,3.7,72.14452,0,0
2023-12-01,0.9458553660534743,3.8,71.78856,0,0
2024-01-01,0.9144487871456046,3.7,71.97829,0,0
2024-02-01,0.9601709178761964,3.9,71.89803,0,0
2024-03-01,0.9372773733932166,3.9,72.00804000000001,0,0
2024-04-01,1.056998668689433,3.9,72.01894,0,0
2024-05-01,0.9530664416370902,4.0,71.86604,0,0
2024-06-01,0.9686326828208867,4.1,71.80396,0,0
2024-07-01,1.1158734392348295,4.2,71.79836,0,0
2024-08-01,1.0964844354963605,4.2,71.73149000000001,0,0
2024-09-01,0.9845366559127824,4.1,71.87201999999999,0,0
2024-10-01,1.0157566148052721,4.1,71.70861,0,0
2024-11-01,0.8387981362798805,4.2,71.64678,0,0
2024-12-01,0.9173517422260161,4.1,71.88568000000001,0,0
