date,NU,NE,inf_period,pre_period
2016-01-01,2.18,4.775,0,1
2016-02-01,2.231,4.806,0,1
2016-03-01,2.147,4.773000000000001,0,1
2016-04-01,2.198,4.449,0,1
2016-05-01,2.012,4.4350000000000005,0,1
2016-06-01,2.147,4.4110000000000005,0,1
2016-07-01,1.991,4.63,0,1
2016-08-01,2.099,4.562,0,1
2016-09-01,2.238,4.3389999999999995,0,1
2016-10-01,2.166,4.2410000000000005,0,1
2016-11-01,2.027,4.743,0,1
2016-12-01,2.112,4.804,0,1
2017-01-01,1.9980000000000002,4.763,0,1
2017-02-01,1.924,4.7059999999999995,0,1
2017-03-01,1.9009999999999998,4.839,0,1
2017-04-01,2.022,4.74,0,1
2017-05-01,1.864,4.527,0,1
2017-06-01,1.821,4.919,0,1
2017-07-01,2.026,4.791,0,1
2017-08-01,2.009,4.630999999999999,0,1
2017-09-01,1.974,5.055,0,1
2017-10-01,1.918,4.449,0,1
2017-11-01,1.859,4.82,0,1
2017-12-01,1.8290000000000002,4.618,0,1
2018-01-01,1.8579999999999999,4.709,0,1
2018-02-01,1.974,4.88,0,1
2018-03-01,1.7919999999999998,4.629,0,1
2018-04-01,1.848,4.752,0,1
2018-05-01,1.677,4.5280000000000005,0,1
2018-06-01,1.9060000000000001,4.739,0,1
2018-07-01,1.566,5.076,0,1
2018-08-01,1.669,4.673,0,1
2018-09-01,1.778,4.902,0,1
2018-10-01,1.8579999999999999,4.748,0,1
2018-11-01,1.77,4.845,0,1
2018-12-01,1.879,4.871,0,1
2019-01-01,1.95,4.643,0,1
2019-02-01,1.848,4.957000000000001,0,1
2019-03-01,1.822,4.618,0,1
2019-04-01,1.685,4.522,0,1
2019-05-01,1.748,4.87,0,1
2019-06-01,1.609,4.9750000000000005,0,1
2019-07-01,1.7760000000000002,4.938,0,1
2019-08-01,1.6969999999999998,4.822,0,1
2019-09-01,1.717,4.82,0,1
2019-10-01,1.6209999999999998,4.902,0,1
2019-11-01,1.641,4.668,0,1
2019-12-01,1.696,4.8660000000000005,0,1
2020-01-01,,,0,0
2020-02-01,,,0,0
2020-03-01,,,0,0
2020-04-01,,,0,0
2020-05-01,,,0,0
2020-06-01,,,0,0
2020-07-01,,,0,0
2020-08-01,,,0,0
2020-09-01,,,0,0
2020-10-01,,,0,0
2020-11-01,,,0,0
2020-12-01,,,0,0
2021-01-01,2.223,4.045,0,0
2021-02-01,2.373,4.154,0,0
2021-03-01,2.382,4.389,0,0
2021-04-01,2.313,4.67,1,0
2021-05-01,2.3,4.625,1,0
2021-06-01,2.376,4.4799999999999995,1,0
2021-07-01,2.116,4.931,1,0
2021-08-01,2.118,4.632,1,0
2021-09-01,1.83,4.646999999999999,1,0
2021-10-01,1.926,4.902,1,0
2021-11-01,1.799,4.966,1,0
2021-12-01,1.932,4.552,1,0
2022-01-01,1.8780000000000001,4.729,1,0
2022-02-01,1.738,4.772,1,0
2022-03-01,1.6680000000000001,4.7379999999999995,1,0
2022-04-01,1.625,4.728000000000001,1,0
2022-05-01,1.683,4.979,1,0
2022-06-01,1.717,4.5809999999999995,1,0
2022-07-01,1.653,4.709,1,0
2022-08-01,1.849,4.936999999999999,1,0
2022-09-01,1.5730000000000002,4.716,1,0
2022-10-01,1.7049999999999998,4.719,1,0
2022-11-01,1.6480000000000001,4.53,1,0
2022-12-01,1.526,5.142,1,0
2023-01-01,1.652,4.849,1,0
2023-02-01,1.6809999999999998,4.934,1,0
2023-03-01,1.541,4.601999999999999,1,0
2023-04-01,1.422,4.788,1,0
2023-05-01,1.6019999999999999,4.532,1,0
2023-06-01,1.66,4.709,0,0
2023-07-01,1.736,4.789000000000001,0,0
2023-08-01,1.757,4.727,0,0
2023-09-01,1.725,4.522,0,0
2023-10-01,1.82,4.389,0,0
2023-11-01,1.6400000000000001,4.731,0,0
2023-12-01,1.7129999999999999,3.8600000000000003,0,0
2024-01-01,1.646,4.725,0,0
