Unnamed: 0,Job Stayer,Job Switcher,Overall
2016-01-01,2.9,3.5,3.1
2016-02-01,2.9,3.6,3.2
2016-03-01,2.9,3.6,3.1
2016-04-01,2.9,3.6,3.1
2016-05-01,2.9,3.7,3.2
2016-06-01,2.9,3.8,3.2
2016-07-01,2.9,3.8,3.2
2016-08-01,2.9,3.9,3.3
2016-09-01,3.0,4.0,3.4
2016-10-01,3.2,4.0,3.5
2016-11-01,3.2,4.0,3.5
2016-12-01,3.2,4.1,3.5
2017-01-01,3.2,4.1,3.5
2017-02-01,3.2,4.0,3.5
2017-03-01,3.2,4.1,3.5
2017-04-01,3.1,4.2,3.5
2017-05-01,3.1,4.0,3.5
2017-06-01,3.1,4.0,3.4
2017-07-01,3.1,4.1,3.5
2017-08-01,3.0,4.1,3.5
2017-09-01,3.0,4.0,3.4
2017-10-01,2.9,4.0,3.3
2017-11-01,2.8,4.0,3.3
2017-12-01,2.8,4.0,3.3
2018-01-01,2.8,4.0,3.3
2018-02-01,2.7,4.0,3.2
2018-03-01,2.8,4.0,3.3
2018-04-01,2.8,4.0,3.2
2018-05-01,2.7,4.0,3.2
2018-06-01,2.8,4.0,3.3
2018-07-01,2.8,3.9,3.2
2018-08-01,2.9,3.7,3.2
2018-09-01,2.9,3.7,3.2
2018-10-01,3.0,3.7,3.3
2018-11-01,3.1,3.8,3.4
2018-12-01,3.2,3.9,3.5
2019-01-01,3.3,3.9,3.5
2019-02-01,3.3,3.9,3.5
2019-03-01,3.3,3.8,3.5
2019-04-01,3.4,3.9,3.6
2019-05-01,3.4,3.9,3.6
2019-06-01,3.5,4.0,3.7
2019-07-01,3.5,4.1,3.7
2019-08-01,3.3,4.2,3.7
2019-09-01,3.3,4.3,3.7
2019-10-01,3.3,4.3,3.7
2019-11-01,3.2,4.3,3.6
2019-12-01,3.2,4.3,3.7
2020-01-01,3.2,4.3,3.7
2020-02-01,3.3,4.4,3.7
2020-03-01,3.2,4.4,3.7
2020-04-01,3.2,4.3,3.6
2020-05-01,3.2,4.4,3.7
2020-06-01,3.2,4.4,3.6
2020-07-01,3.2,4.3,3.6
2020-08-01,3.2,4.2,3.6
2020-09-01,3.2,4.2,3.6
2020-10-01,3.2,4.2,3.6
2020-11-01,3.2,4.2,3.6
2020-12-01,3.1,4.1,3.5
2021-01-01,3.1,4.1,3.5
2021-02-01,3.1,4.1,3.5
2021-03-01,3.2,4.0,3.5
2021-04-01,3.2,4.0,3.5
2021-05-01,3.1,3.9,3.4
2021-06-01,3.1,3.8,3.4
2021-07-01,3.1,4.0,3.5
2021-08-01,3.1,4.1,3.5
2021-09-01,3.2,4.2,3.6
2021-10-01,3.2,4.3,3.6
2021-11-01,3.2,4.3,3.7
2021-12-01,3.4,4.5,3.8
2022-01-01,3.7,4.7,4.0
2022-02-01,3.8,5.0,4.3
2022-03-01,4.0,5.3,4.5
2022-04-01,4.2,5.6,4.7
2022-05-01,4.5,6.0,5.0
2022-06-01,4.8,6.4,5.3
2022-07-01,4.9,6.6,5.5
2022-08-01,5.1,6.9,5.7
2022-09-01,5.2,7.0,5.9
2022-10-01,5.3,7.3,6.0
2022-11-01,5.5,7.7,6.2
2022-12-01,5.5,7.7,6.3
2023-01-01,5.5,7.7,6.3
2023-02-01,5.6,7.7,6.3
2023-03-01,5.7,7.7,6.4
2023-04-01,5.6,7.6,6.3
2023-05-01,5.7,7.5,6.3
2023-06-01,5.5,7.3,6.1
2023-07-01,5.5,7.0,6.0
2023-08-01,5.5,6.8,6.0
2023-09-01,5.4,6.7,5.8
2023-10-01,5.3,6.6,5.8
2023-11-01,5.3,6.2,5.6
2023-12-01,5.3,6.2,5.6
2024-01-01,5.1,6.1,5.5
2024-02-01,5.1,5.9,5.4
2024-03-01,4.9,5.6,5.2
2024-04-01,5.0,5.8,5.3
2024-05-01,4.9,5.6,5.2
2024-06-01,4.9,5.5,5.1
2024-07-01,4.8,5.4,5.1
2024-08-01,4.8,5.3,5.0
2024-09-01,4.8,5.3,5.0
2024-10-01,4.8,5.2,4.9
2024-11-01,4.7,5.1,4.8
2024-12-01,4.6,5.0,4.7
