decile,ee,eu_quits,eu_layoffs,eu_other,ue,eu_tot,u_rate,quit_share,layoff_share,other_share
1,.0291801574214496,.0037222757372571,.0045762425338329,.0110311046287999,.2889649759467791,.019329622,.062698543,.19256847,.23674764,.5706839
2,.0270408169574105,.0022279918565817,.0032774565746495,.0085552520287794,.2867421250200831,.0140607,.046743911,.15845525,.23309341,.60845137
3,.0230165341736937,.0024980842623312,.0032917294963573,.0085406302389728,.2426181996903981,.014330444,.055771627,.17432009,.22970185,.59597808
4,.0217571644038365,.0017513131361947,.002636031921321,.0058086535435323,.2625457948794991,.010195998,.037383337,.17176475,.25853592,.56969935
5,.0217793978776617,.0010168941413311,.0019587194259645,.0054262063672626,.2989861364193878,.0084018195,.02733295,.12103261,.23313038,.64583707
6,.0222393669235359,.0015390485143364,.0021535109403135,.0054517987079937,.2481239782404511,.0091443583,.035544049,.1683058,.23550159,.5961926
7,.0203082587644364,.0013357051227808,.0017262801851107,.0042636732271435,.2551673511869351,.0073256586,.027908014,.18233243,.23564847,.58201909
8,.0201398829525016,.0013633713913652,.001607216496624,.005201194871897,.2426238458843138,.0081717828,.032583434,.16683891,.1966788,.63648224
9,.0194384043387016,.000982782993543,.0016751016613707,.0039917519272952,.3096309125089242,.0066496367,.021024488,.14779499,.25190875,.60029626
10,.0197628192678838,.0009954119871682,.0006855849562663,.0041357286166327,.2470095926685963,.0058167255,.023006804,.17112927,.11786442,.71100634
