date_monthly,smwghigh_wfh,smwgno_wfh
2016m1,3.2831132,2.9957862
2016m2,3.2611058,3.1014194
2016m3,3.1525476,3.1361277
2016m4,3.1007109,3.1821718
2016m5,3.2123988,3.2232609
2016m6,3.2403378,3.2355998
2016m7,3.3014631,3.1668751
2016m8,3.4202251,3.224143
2016m9,3.4625781,3.3488381
2016m10,3.6357889,3.3528523
2016m11,3.6346488,3.3779054
2016m12,3.6591322,3.3746808
2017m1,3.6976864,3.3477557
2017m2,3.7421062,3.2756326
2017m3,3.8456299,3.2798026
2017m4,3.9277148,3.2042539
2017m5,3.800102,3.2295904
2017m6,3.8537564,3.1480646
2017m7,3.8026543,3.2466381
2017m8,3.7891979,3.2294958
2017m9,3.7580285,3.1496332
2017m10,3.5954514,3.1285644
2017m11,3.4825122,3.1224251
2017m12,3.4825122,3.0827651
2018m1,3.5021873,3.0803609
2018m2,3.4100163,3.0749254
2018m3,3.4324985,3.1017754
2018m4,3.3264949,3.1100543
2018m5,3.3264325,3.0465152
2018m6,3.3263736,3.1557391
2018m7,3.3443027,3.1020894
2018m8,3.3230128,3.1155605
2018m9,3.3084416,3.1361113
2018m10,3.3783009,3.2097335
2018m11,3.5588241,3.2337899
2018m12,3.5588195,3.3609555
2019m1,3.6060719,3.3910124
2019m2,3.6538208,3.3949714
2019m3,3.6232023,3.3864419
2019m4,3.673265,3.4782474
2019m5,3.7373233,3.5419798
2019m6,3.7373412,3.5855129
2019m7,3.7774825,3.6391478
2019m8,3.7754159,3.601203
2019m9,3.7716143,3.6383226
2019m10,3.7672136,3.6108046
2019m11,3.6985023,3.6053963
2019m12,3.7383363,3.5714655
2020m1,3.8047507,3.539052
2020m2,3.8356793,3.5676615
2020m3,3.832371,3.4900129
2020m4,3.8323839,3.4455156
2020m5,3.9127288,3.4997311
2020m6,3.9841192,3.4293568
2020m7,4.0005035,3.3861938
2020m8,3.9744263,3.3789818
2020m9,3.9357898,3.3789818
2020m10,3.8902903,3.4134233
2020m11,3.8256516,3.4450269
2020m12,3.742259,3.4404719
2021m1,3.6027875,3.5019727
2021m2,3.530221,3.5411093
2021m3,3.5004084,3.5712185
2021m4,3.4339621,3.5532782
2021m5,3.3416879,3.4621325
2021m6,3.2461874,3.4844155
2021m7,3.3612416,3.5119929
2021m8,3.4193139,3.573494
2021m9,3.494159,3.7007229
2021m10,3.6727252,3.7007375
2021m11,3.6819897,3.7440834
2021m12,3.9167852,3.8596356
2022m1,4.118999,4.183434
2022m2,4.4045591,4.405376
2022m3,4.5013185,4.7366843
2022m4,4.640913,5.0470309
2022m5,4.8444328,5.3729339
2022m6,5.0202308,5.8533301
2022m7,5.1039515,6.0798535
2022m8,5.3423743,6.3517303
2022m9,5.596324,6.36133
2022m10,5.6422205,6.5317955
2022m11,5.9772506,6.6203675
2022m12,5.9402142,6.7367721
2023m1,6.008708,6.6477308
2023m2,6.038053,6.6856852
2023m3,6.2855973,6.6090469
2023m4,6.3883219,6.4519844
2023m5,6.5393195,6.3748055
2023m6,6.4673591,6.0538259
2023m7,6.3361411,6.0316329
2023m8,6.337656,5.7835684
2023m9,6.205677,5.7021832
2023m10,6.1313882,5.6722465
2023m11,5.8439703,5.676065
2023m12,5.9914775,5.4976988
2024m1,5.830143,5.3486857
2024m2,5.7559633,5.1139283
2024m3,5.5341797,4.9884911
2024m4,5.5933204,5.0337167
2024m5,5.3366919,4.9051232
2024m6,5.2613344,4.8210335
2024m7,5.3661575,4.6322441
2024m8,5.2102065,4.6991425
2024m9,5.1954436,4.7101002
2024m10,5.213439,4.5457516
2024m11,5.205493,4.4246354
2024m12,5.0243149,4.4379797
