date,Q1,Q2,Q3,Q4,Overall,P,P_12m_change,wage_index_1,wage_index_2,wage_index_3,wage_index_4,med_wage_index,P_norm,price_mom_grth,q1_mom_grth,q2_mom_grth,q3_mom_grth,q4_mom_grth,med_mom_grth,P_1m_change,nom_wage_index_1,nom_wage_index_2,nom_wage_index_3,nom_wage_index_4,med_nom_wage_index,price_index,real_wage_index_1,real_wage_index_2,real_wage_index_3,real_wage_index_4,med_real_wage_index,predicted_real_wage_index_1,predicted_real_wage_index_2,predicted_real_wage_index_3,predicted_real_wage_index_4,predicted_med_real_wage_index,predicted_price_index
2000-01-01,5.7,5.2,4.8,4.9,5.0,169.3,2.792956891317555,1,1,1,1,1,0.653905278363576,1.002962085308057,1.00475,1.0043333333333333,1.004,1.0040833333333334,1.0041666666666667,1.002327464076098,1.00475,1.0043333333333333,1.004,1.0040833333333334,1.0041666666666667,1.002962085308057,1.0017826343768457,1.0013671982673753,1.0010348493797991,1.0011179366016933,1.001201023823587,1.0366780746738538,1.022767921906895,1.0223213234065547,1.0220212757661127,1.0245376604464045,1.0177391320557438
2000-02-01,5.6,5.1,4.9,4.8,5.0,170.0,3.2179720704310855,1,1,1,1,1,0.6566089623260952,1.0041346721795628,1.0046666666666666,1.00425,1.0040833333333334,1.004,1.0041666666666667,1.0026816433920258,1.0094388333333333,1.00860175,1.0080996666666668,1.0080996666666668,1.0083506944444445,1.0071090047393365,1.002313382745098,1.001482208235294,1.000983669019608,1.000983669019608,1.0012329248366014,1.0377188791668712,1.0238266161324456,1.0233289880101832,1.0231255755344655,1.0255838906073191,1.0198987063008371
2000-03-01,5.6,5.0,4.9,4.7,4.9,171.0,3.762135922330101,1,1,1,1,1,0.6604713679868369,1.0058823529411764,1.0046666666666666,1.0041666666666667,1.0040833333333334,1.0039166666666666,1.0040833333333334,1.0031351132686084,1.0141495478888887,1.0128042572916667,1.0122160736388892,1.012048057027778,1.0124681264467594,1.0130331753554502,1.0011020098458738,0.9997740270808967,0.9991934107031842,0.9990275557092919,0.9994422207263918,1.038759683659889,1.0248853103579962,1.0243366526138118,1.024229875302818,1.0266301207682338,1.0220582805459304
2000-04-01,5.5,5.0,4.9,4.8,4.9,170.9,3.013863773357439,1,1,1,1,1,0.6600851274207628,0.9994152046783625,1.0045833333333334,1.0041666666666667,1.0040833333333334,1.004,1.0040833333333334,1.0025115531444646,1.0187977333167129,1.017024275030382,1.0163492892729147,1.016096249255889,1.0166023712964172,1.0124407582938388,1.0062788612279763,1.004527194997826,1.0038605033895143,1.0036105726997897,1.004110475569545,1.0398004881529064,1.0259440045835468,1.0253443172174403,1.0253341750711709,1.0276763509291487,1.0242178547910237
2000-05-01,5.5,5.1,4.7,4.7,4.9,171.2,3.1325301204819134,1,1,1,1,1,0.6612438491189853,1.0017554125219426,1.0045833333333334,1.00425,1.0039166666666666,1.0039166666666666,1.0040833333333334,1.0026104417670683,1.023467222927748,1.0213466281992611,1.0203299906559002,1.0200759595654745,1.0207534976458776,1.0142180094786728,1.0091195515782938,1.0070286848132903,1.0060262991981075,1.0057758292911922,1.0064438691742066,1.0408412926459238,1.0270026988090974,1.0263519818210687,1.0264384748395237,1.0287225810900633,1.026377429036117
2000-06-01,5.6,5.0,4.8,4.7,5.0,172.2,3.7349397590361377,1,1,1,1,1,0.665106254779727,1.0058411214953271,1.0046666666666666,1.0041666666666667,1.004,1.0039166666666666,1.0041666666666667,1.0031124497991968,1.0282434033014107,1.0256022391500914,1.0244113106185238,1.0240712570737724,1.0250066372194022,1.0201421800947865,1.0079412687414528,1.0053522530112395,1.0041848387480072,1.0038514993847434,1.0047684109328405,1.0418820971389415,1.028061393034648,1.0273596464246972,1.0275427746078762,1.029768811250978,1.0285370032812102
2000-07-01,5.6,5.0,4.9,4.8,5.0,172.7,3.5992801439711952,1,1,1,1,1,0.6670374576100978,1.002903600464576,1.0046666666666666,1.0041666666666667,1.0040833333333334,1.004,1.0041666666666667,1.002999400119976,1.0330418725168173,1.0298755818132168,1.0285943234702162,1.0281675421020675,1.0292774982078163,1.0231042654028433,1.009713190971852,1.006618403069317,1.00536607875954,1.0049489351871979,1.0060338256947277,1.042922901631959,1.0291200872601987,1.0283673110283258,1.028647074376229,1.0308150414118926,1.0306965775263035
2000-08-01,5.6,5.1,4.9,4.7,5.0,172.7,3.3512866546977715,1,1,1,1,1,0.6670374576100978,1.0,1.0046666666666666,1.00425,1.0040833333333334,1.0039166666666666,1.0041666666666667,1.0027927388789148,1.0378627345885625,1.034252553035923,1.0327944169577197,1.0321945316419672,1.033566154450349,1.0231042654028433,1.014425185863054,1.0108965312823617,1.0094713235811414,1.0088849851833475,1.010225633301789,1.0439637061249765,1.0301787814857493,1.0293749756319543,1.0297513741445818,1.0318612715728073,1.0328561517713968
2000-09-01,5.6,5.1,4.9,4.7,5.0,173.6,3.45649582836709,1,1,1,1,1,0.6705136227047654,1.0052113491603938,1.0046666666666666,1.00425,1.0040833333333334,1.0039166666666666,1.0041666666666667,1.002880413190306,1.0427060940166424,1.0386481263863259,1.0370116608269637,1.0362372935575648,1.037872680093892,1.0284360189573456,1.013875510771943,1.0099297450115892,1.0083385273478775,1.0075855711550519,1.0091757396304668,1.045004510617994,1.0312374757112999,1.030382640235583,1.0308556739129344,1.032907501733722,1.03501572601649
2000-10-01,5.6,5.1,4.9,4.7,5.0,173.9,3.4503271861986873,1,1,1,1,1,0.671672344402988,1.0017281105990783,1.0046666666666666,1.00425,1.0040833333333334,1.0039166666666666,1.0041666666666667,1.0028752726551655,1.04757205578872,1.0430623809234678,1.041246125108674,1.0402958896239984,1.0421971495942832,1.0302132701421796,1.0168497010761128,1.0124722823454944,1.0107092922273966,1.0097869244883901,1.0116324258281488,1.0460453151110116,1.0322961699368505,1.0313903048392115,1.0319599736812872,1.0339537318946368,1.0371753002615833
