timestep,agg,category,date,median pay change,median annual pay
M,Firm Size,1-19 Employees,2020-11-01,1.0,39400.0
M,Firm Size,1-19 Employees,2020-12-01,0.9,39900.0
M,Firm Size,1-19 Employees,2021-01-01,1.2,39600.0
M,Firm Size,1-19 Employees,2021-02-01,1.0,39600.0
M,Firm Size,1-19 Employees,2021-03-01,1.2,39700.0
M,Firm Size,1-19 Employees,2021-04-01,2.5,42600.0
M,Firm Size,1-19 Employees,2021-05-01,2.9,42800.0
M,Firm Size,1-19 Employees,2021-06-01,3.0,41800.0
M,Firm Size,1-19 Employees,2021-07-01,3.2,41600.0
M,Firm Size,1-19 Employees,2021-08-01,3.5,41600.0
M,Firm Size,1-19 Employees,2021-09-01,3.7,41600.0
M,Firm Size,1-19 Employees,2021-10-01,4.0,41700.0
M,Firm Size,1-19 Employees,2021-11-01,4.4,42000.0
M,Firm Size,1-19 Employees,2021-12-01,4.6,42500.0
M,Firm Size,1-19 Employees,2022-01-01,4.7,42600.0
M,Firm Size,1-19 Employees,2022-02-01,5.0,42800.0
M,Firm Size,1-19 Employees,2022-03-01,5.2,42700.0
M,Firm Size,1-19 Employees,2022-04-01,4.9,42600.0
M,Firm Size,1-19 Employees,2022-05-01,4.8,42700.0
M,Firm Size,1-19 Employees,2022-06-01,4.7,42600.0
M,Firm Size,1-19 Employees,2022-07-01,4.7,42700.0
M,Firm Size,1-19 Employees,2022-08-01,4.8,42900.0
M,Firm Size,1-19 Employees,2022-09-01,5.0,43100.0
M,Firm Size,1-19 Employees,2022-10-01,5.0,43200.0
M,Firm Size,1-19 Employees,2022-11-01,4.9,43400.0
M,Firm Size,1-19 Employees,2022-12-01,4.8,43800.0
M,Firm Size,1-19 Employees,2023-01-01,4.9,43900.0
M,Firm Size,1-19 Employees,2023-02-01,4.9,44100.0
M,Firm Size,1-19 Employees,2023-03-01,4.8,44000.0
M,Firm Size,1-19 Employees,2023-04-01,4.7,44000.0
M,Firm Size,1-19 Employees,2023-05-01,4.6,44100.0
M,Firm Size,1-19 Employees,2023-06-01,4.4,44100.0
M,Firm Size,1-19 Employees,2023-07-01,4.4,44200.0
M,Firm Size,1-19 Employees,2023-08-01,4.2,44400.0
M,Firm Size,1-19 Employees,2023-09-01,4.1,44500.0
M,Firm Size,1-19 Employees,2023-10-01,4.1,44800.0
M,Firm Size,1-19 Employees,2023-11-01,4.0,44900.0
M,Firm Size,1-19 Employees,2023-12-01,3.8,45300.0
M,Firm Size,1-19 Employees,2024-01-01,3.8,45100.0
M,Firm Size,1-19 Employees,2024-02-01,3.5,45300.0
M,Firm Size,1-19 Employees,2024-03-01,3.5,45200.0
M,Firm Size,1-19 Employees,2024-04-01,3.4,45200.0
M,Firm Size,1-19 Employees,2024-05-01,3.3,45200.0
M,Firm Size,1-19 Employees,2024-06-01,3.2,45100.0
M,Firm Size,1-19 Employees,2024-07-01,3.3,45400.0
M,Firm Size,1-19 Employees,2024-08-01,3.1,45500.0
M,Firm Size,1-19 Employees,2024-09-01,3.1,45600.0
M,Firm Size,1-19 Employees,2024-10-01,3.1,45700.0
M,Firm Size,1-19 Employees,2024-11-01,3.0,45900.0
M,Firm Size,1-19 Employees,2024-12-01,2.8,46300.0
M,Firm Size,1-19 Employees,2025-01-01,2.9,46100.0
M,Firm Size,20-49 Employees,2020-11-01,2.4,43000.0
M,Firm Size,20-49 Employees,2020-12-01,2.4,43400.0
M,Firm Size,20-49 Employees,2021-01-01,2.5,43500.0
M,Firm Size,20-49 Employees,2021-02-01,2.4,43400.0
M,Firm Size,20-49 Employees,2021-03-01,2.5,43100.0
M,Firm Size,20-49 Employees,2021-04-01,3.6,46600.0
M,Firm Size,20-49 Employees,2021-05-01,4.1,46600.0
M,Firm Size,20-49 Employees,2021-06-01,4.3,45100.0
M,Firm Size,20-49 Employees,2021-07-01,4.7,44700.0
M,Firm Size,20-49 Employees,2021-08-01,5.1,44800.0
M,Firm Size,20-49 Employees,2021-09-01,5.4,45000.0
M,Firm Size,20-49 Employees,2021-10-01,5.8,45000.0
M,Firm Size,20-49 Employees,2021-11-01,6.2,45400.0
M,Firm Size,20-49 Employees,2021-12-01,6.7,45900.0
M,Firm Size,20-49 Employees,2022-01-01,6.9,46100.0
