observation_date,LNS17200000_LNS15000000
2016-01-01,0.04775
2016-02-01,0.04806
2016-03-01,0.04773
2016-04-01,0.04449
2016-05-01,0.04435
2016-06-01,0.04411
2016-07-01,0.04630
2016-08-01,0.04562
2016-09-01,0.04339
2016-10-01,0.04241
2016-11-01,0.04743
2016-12-01,0.04804
2017-01-01,0.04763
2017-02-01,0.04706
2017-03-01,0.04839
2017-04-01,0.04740
2017-05-01,0.04527
2017-06-01,0.04919
2017-07-01,0.04791
2017-08-01,0.04631
2017-09-01,0.05055
2017-10-01,0.04449
2017-11-01,0.04820
2017-12-01,0.04618
2018-01-01,0.04709
2018-02-01,0.04880
2018-03-01,0.04629
2018-04-01,0.04752
2018-05-01,0.04528
2018-06-01,0.04739
2018-07-01,0.05076
2018-08-01,0.04673
2018-09-01,0.04902
2018-10-01,0.04748
2018-11-01,0.04845
2018-12-01,0.04871
2019-01-01,0.04643
2019-02-01,0.04957
2019-03-01,0.04618
2019-04-01,0.04522
2019-05-01,0.04870
2019-06-01,0.04975
2019-07-01,0.04938
2019-08-01,0.04822
2019-09-01,0.04820
2019-10-01,0.04902
2019-11-01,0.04668
2019-12-01,0.04866
2020-01-01,0.04913
2020-02-01,0.04676
2020-03-01,0.04028
2020-04-01,0.03262
2020-05-01,0.05353
2020-06-01,0.04641
2020-07-01,0.04101
2020-08-01,0.04622
2020-09-01,0.04100
2020-10-01,0.04874
2020-11-01,0.04153
2020-12-01,0.04463
2021-01-01,0.04045
2021-02-01,0.04154
2021-03-01,0.04389
2021-04-01,0.04670
2021-05-01,0.04625
2021-06-01,0.04480
2021-07-01,0.04931
2021-08-01,0.04632
2021-09-01,0.04647
2021-10-01,0.04902
2021-11-01,0.04966
2021-12-01,0.04552
2022-01-01,0.04729
2022-02-01,0.04772
2022-03-01,0.04738
2022-04-01,0.04728
2022-05-01,0.04979
2022-06-01,0.04581
2022-07-01,0.04709
2022-08-01,0.04937
2022-09-01,0.04716
2022-10-01,0.04719
2022-11-01,0.04530
2022-12-01,0.05142
2023-01-01,0.04849
2023-02-01,0.04934
2023-03-01,0.04602
2023-04-01,0.04788
2023-05-01,0.04532
2023-06-01,0.04709
2023-07-01,0.04789
2023-08-01,0.04727
2023-09-01,0.04522
2023-10-01,0.04389
2023-11-01,0.04731
2023-12-01,0.03860
2024-01-01,0.04725
