observation_date,LNS17600000_LNS15000000
2016-01-01,0.02180
2016-02-01,0.02231
2016-03-01,0.02147
2016-04-01,0.02198
2016-05-01,0.02012
2016-06-01,0.02147
2016-07-01,0.01991
2016-08-01,0.02099
2016-09-01,0.02238
2016-10-01,0.02166
2016-11-01,0.02027
2016-12-01,0.02112
2017-01-01,0.01998
2017-02-01,0.01924
2017-03-01,0.01901
2017-04-01,0.02022
2017-05-01,0.01864
2017-06-01,0.01821
2017-07-01,0.02026
2017-08-01,0.02009
2017-09-01,0.01974
2017-10-01,0.01918
2017-11-01,0.01859
2017-12-01,0.01829
2018-01-01,0.01858
2018-02-01,0.01974
2018-03-01,0.01792
2018-04-01,0.01848
2018-05-01,0.01677
2018-06-01,0.01906
2018-07-01,0.01566
2018-08-01,0.01669
2018-09-01,0.01778
2018-10-01,0.01858
2018-11-01,0.01770
2018-12-01,0.01879
2019-01-01,0.01950
2019-02-01,0.01848
2019-03-01,0.01822
2019-04-01,0.01685
2019-05-01,0.01748
2019-06-01,0.01609
2019-07-01,0.01776
2019-08-01,0.01697
2019-09-01,0.01717
2019-10-01,0.01621
2019-11-01,0.01641
2019-12-01,0.01696
2020-01-01,0.01675
2020-02-01,0.01595
2020-03-01,0.01629
2020-04-01,0.02236
2020-05-01,0.04148
2020-06-01,0.03696
2020-07-01,0.03380
2020-08-01,0.02677
2020-09-01,0.02609
2020-10-01,0.02544
2020-11-01,0.02354
2020-12-01,0.02506
2021-01-01,0.02223
2021-02-01,0.02373
2021-03-01,0.02382
2021-04-01,0.02313
2021-05-01,0.02300
2021-06-01,0.02376
2021-07-01,0.02116
2021-08-01,0.02118
2021-09-01,0.01830
2021-10-01,0.01926
2021-11-01,0.01799
2021-12-01,0.01932
2022-01-01,0.01878
2022-02-01,0.01738
2022-03-01,0.01668
2022-04-01,0.01625
2022-05-01,0.01683
2022-06-01,0.01717
2022-07-01,0.01653
2022-08-01,0.01849
2022-09-01,0.01573
2022-10-01,0.01705
2022-11-01,0.01648
2022-12-01,0.01526
2023-01-01,0.01652
2023-02-01,0.01681
2023-03-01,0.01541
2023-04-01,0.01422
2023-05-01,0.01602
2023-06-01,0.01660
2023-07-01,0.01736
2023-08-01,0.01757
2023-09-01,0.01725
2023-10-01,0.01820
2023-11-01,0.01640
2023-12-01,0.01713
2024-01-01,0.01646
