observation_date,JTSJOL,JTSQUL,JTSHIL,JTSLDL
2000-12-01,5088,2882,5426,2018
2001-01-01,5234,3245,5722,2220
2001-02-01,5097,3053,5303,1855
2001-03-01,4762,3054,5528,2133
2001-04-01,4615,3163,5204,1883
2001-05-01,4425,2993,5410,2029
2001-06-01,4361,2878,5109,2015
2001-07-01,4447,2947,5244,2038
2001-08-01,4024,2928,5223,2011
2001-09-01,4071,2703,4954,2107
2001-10-01,3707,2795,5078,2319
2001-11-01,3775,2560,4914,2255
2001-12-01,3677,2559,4829,1922
2002-01-01,3699,2845,4855,1907
2002-02-01,3436,2572,4801,1978
2002-03-01,3612,2493,4706,1883
2002-04-01,3471,2624,4928,1956
2002-05-01,3457,2537,4857,1967
2002-06-01,3412,2522,4869,2015
2002-07-01,3367,2561,4946,2102
2002-08-01,3517,2561,4871,1923
2002-09-01,3301,2521,4879,2022
2002-10-01,3479,2423,4798,1935
2002-11-01,3514,2403,4792,1944
2002-12-01,3169,2501,4893,2007
2003-01-01,3441,2429,5058,2109
2003-02-01,3229,2490,4714,2015
2003-03-01,3099,2394,4470,1949
2003-04-01,3108,2279,4600,1998
2003-05-01,3289,2291,4678,2072
2003-06-01,3390,2315,4682,2076
2003-07-01,2981,2271,4639,2062
2003-08-01,3190,2195,4666,2162
2003-09-01,3091,2354,4799,1932
2003-10-01,3305,2415,4902,1969
2003-11-01,3324,2411,4767,1951
2003-12-01,3414,2444,4984,2007
2004-01-01,3424,2354,4900,2037
2004-02-01,3532,2448,4788,1985
2004-03-01,3525,2582,5227,2065
2004-04-01,3511,2534,5152,2010
2004-05-01,3710,2428,4976,1914
2004-06-01,3337,2659,5009,1887
2004-07-01,3814,2609,4891,1885
2004-08-01,3541,2586,5013,1974
2004-09-01,3821,2531,5062,2027
2004-10-01,3943,2550,5149,1903
2004-11-01,3472,2789,5181,2037
2004-12-01,4074,2695,5153,1951
2005-01-01,3804,2732,5201,2008
2005-02-01,3965,2651,5276,2068
2005-03-01,4044,2747,5273,2188
2005-04-01,4159,2741,5362,1957
2005-05-01,3797,2763,5271,2021
2005-06-01,4062,2754,5376,2015
2005-07-01,4256,2735,5328,1898
2005-08-01,4142,2957,5409,1905
2005-09-01,4352,3046,5493,2032
2005-10-01,4184,2863,5124,1873
2005-11-01,4248,2895,5344,1769
2005-12-01,4282,2849,5294,1923
2006-01-01,4397,2945,5271,1784
2006-02-01,4325,2965,5474,1882
2006-03-01,4732,2956,5524,1888
2006-04-01,4790,2778,5215,1853
2006-05-01,4463,3002,5498,1991
2006-06-01,4614,3042,5455,1817
2006-07-01,4394,3047,5573,1860
2006-08-01,4710,3056,5373,1775
2006-09-01,4737,2888,5288,1831
2006-10-01,4591,2983,5375,1898
2006-11-01,4645,3043,5495,1926
2006-12-01,4620,2999,5214,1772
2007-01-01,4763,2956,5426,1922
2007-02-01,4699,2933,5160,1850
2007-03-01,4962,2997,5479,1882
2007-04-01,4689,2911,5353,2000
2007-05-01,4657,3010,5469,1967
2007-06-01,4859,2910,5267,1845
