decile,ee,eu_quits,eu_layoffs,eu_other,ue,eu_tot,u_rate,quit_share,layoff_share,other_share
1,.0291853796690388,.0027953697418833,.0094982693120968,.0077980363697797,.2889649759467791,.020091675,.065009683,.13913074,.47274652,.38812277
2,.0270535276421631,.0016731863678751,.0073786288771812,.0051318863728283,.2867421250200831,.014183702,.047133546,.11796542,.52021885,.36181572
3,.0230072267679494,.00187602145905,.0073892329716143,.0050765697783061,.2426181996903981,.014341824,.055813443,.13080773,.51522267,.3539696
4,.0217475272310841,.0013152082475998,.0056245379549175,.0035413964711116,.2625457948794991,.010481142,.038388677,.12548329,.53663403,.33788267
5,.021784622192536,.0007636712898303,.0047641256423726,.0025629124137806,.2989861364193878,.0080907093,.026347507,.094388671,.58883905,.31677228
6,.0222506315549473,.0011558009002945,.0048627949357055,.0032108176025354,.2481239782404511,.0092294132,.0358628,.12523016,.5268802,.34788969
7,.0203017997744948,.0010030932547333,.0039355151091117,.0021896122431111,.2551673511869351,.0071282205,.027176291,.14072141,.55210346,.30717516
8,.0201472750899111,.0010238701814122,.0045448033294872,.002323770904408,.2426238458843138,.0078924447,.031504717,.12972789,.57584226,.29442981
9,.0194220607509216,.0007380543616073,.0038252022302667,.0017601690270593,.3096309125089242,.0063234256,.020013733,.11671749,.60492563,.27835688
10,.0197627521429018,.000747538534501,.0031945971854474,.0017220539428349,.2470095926685963,.0056641898,.022417007,.13197625,.56399894,.30402476
