date,layoff_rate_jolts,quit_rate_jolts,vacancy_rate_jolts,P,P_12m_change
2016-01-01,1.3,2.0,4.0,237.652,1.2375025026943876
2016-02-01,1.3,2.1,3.9,237.336,0.8472775790126619
2016-03-01,1.3,2.0,4.1,238.08,0.8916160965521946
2016-04-01,1.2,2.1,3.9,238.992,1.1726257503534843
2016-05-01,1.3,2.1,3.9,239.557,1.0784764621246223
2016-06-01,1.2,2.1,3.8,240.222,1.0792865347959424
2016-07-01,1.2,2.1,4.0,240.101,0.8683633430518256
2016-08-01,1.3,2.1,3.8,240.545,1.0553158595656864
2016-09-01,1.1,2.1,3.9,241.176,1.5486446201652182
2016-10-01,1.1,2.1,3.7,241.741,1.685924966243646
2016-11-01,1.2,2.1,4.0,242.026,1.6843334719788938
2016-12-01,1.2,2.1,3.9,242.637,2.0507989115119862
2017-01-01,1.2,2.2,3.7,243.618,2.5103933482571117
2017-02-01,1.2,2.1,3.9,244.006,2.8103616813294208
2017-03-01,1.2,2.2,3.8,243.892,2.44119623655914
2017-04-01,1.2,2.1,4.0,244.193,2.176223471915395
2017-05-01,1.2,2.1,3.8,244.004,1.8563431667619756
2017-06-01,1.3,2.2,4.1,244.163,1.640565809959127
2017-07-01,1.3,2.1,4.1,244.243,1.7251073506566073
2017-08-01,1.3,2.1,4.1,245.183,1.92812155729698
2017-09-01,1.2,2.2,4.1,246.435,2.1805652303711787
2017-10-01,1.2,2.2,4.2,246.626,2.020757753132485
2017-11-01,1.2,2.2,4.1,247.284,2.172493864295566
2017-12-01,1.2,2.2,4.1,247.805,2.129930719552253
2018-01-01,1.3,2.0,4.3,248.859,2.151318868063945
2018-02-01,1.2,2.2,4.2,249.529,2.263468931091861
2018-03-01,1.2,2.2,4.4,249.577,2.3309497646499366
2018-04-01,1.2,2.3,4.4,250.227,2.4709963021052994
2018-05-01,1.2,2.3,4.5,250.792,2.781921607842497
2018-06-01,1.2,2.3,4.6,251.018,2.8075506935940187
2018-07-01,1.2,2.3,4.6,251.214,2.854124785561929
2018-08-01,1.2,2.3,4.6,251.663,2.6429238568742575
2018-09-01,1.2,2.3,4.7,252.182,2.332055105808828
2018-10-01,1.2,2.3,4.7,252.772,2.492032470218053
2018-11-01,1.3,2.3,4.8,252.594,2.147328577667773
2018-12-01,1.2,2.3,4.8,252.767,2.0023809043401064
2019-01-01,1.1,2.3,4.8,252.561,1.4875893578291333
2019-02-01,1.2,2.4,4.5,253.319,1.5188615351321877
2019-03-01,1.1,2.3,4.6,254.277,1.8831863513063984
2019-04-01,1.3,2.3,4.6,255.233,2.000583470209061
2019-05-01,1.2,2.3,4.6,255.296,1.7959105553606136
2019-06-01,1.2,2.3,4.6,255.213,1.671194894390049
2019-07-01,1.2,2.4,4.5,255.802,1.826331335037068
2019-08-01,1.2,2.3,4.5,256.036,1.7376412106666406
2019-09-01,1.3,2.3,4.5,256.43,1.6844977040391562
2019-10-01,1.2,2.3,4.6,257.155,1.7339736996186295
2019-11-01,1.2,2.3,4.3,257.879,2.092290394862917
2019-12-01,1.3,2.3,4.2,258.63,2.3195274699624457
2020-01-01,1.2,2.3,4.5,258.906,2.5122643638566533
2020-02-01,1.3,2.3,4.4,259.246,2.339737643050843
2020-03-01,9.0,1.9,3.8,258.15,1.5231420852062971
2020-04-01,7.0,1.5,3.4,256.126,0.3498763874577149
2020-05-01,1.6,1.7,4.0,255.848,0.21621960391076112
2020-06-01,1.6,1.9,4.3,257.004,0.7017667595302868
2020-07-01,1.3,2.2,4.5,258.408,1.0187566946310067
2020-08-01,1.1,2.1,4.3,259.366,1.3005983533565635
2020-09-01,1.1,2.2,4.4,259.951,1.373084272511016
2020-10-01,1.2,2.3,4.6,260.249,1.2031654060780772
2020-11-01,1.5,2.3,4.6,260.895,1.169540753609244
2020-12-01,1.3,2.4,4.5,262.005,1.3049530216912242
2021-01-01,1.1,2.3,4.8,262.518,1.3951009246599089
2021-02-01,1.1,2.4,5.2,263.583,1.6729284154818336
2021-03-01,1.0,2.5,5.6,264.91,2.6186325779585795
2021-04-01,1.0,2.7,6.0,266.752,4.148739292379555
2021-05-01,0.9,2.6,6.4,268.452,4.926362527750849
2021-06-01,0.9,2.7,6.6,270.664,5.315092372103147
2021-07-01,1.0,2.8,7.0,271.994,5.25757716479367
2021-08-01,0.9,2.8,6.9,272.789,5.175312107215291
2021-09-01,1.0,2.9,6.9,273.887,5.361010344257178
2021-10-01,0.9,2.8,7.1,276.434,6.219044069333601
2021-11-01,0.9,3.0,7.0,278.799,6.862530903236941
2021-12-01,0.9,2.9,7.1,280.808,7.176580599606885
2022-01-01,0.9,3.0,7.0,282.39,7.5697666445729395
2022-02-01,1.0,2.8,7.2,284.535,7.948919315737357
2022-03-01,0.9,2.9,7.4,287.553,8.547431203050081
2022-04-01,0.9,3.0,7.2,288.764,8.251859404990402
2022-05-01,1.0,2.8,7.0,291.359,8.532996587844366
2022-06-01,1.0,2.7,6.9,294.996,8.989743741317646
2022-07-01,1.0,2.6,7.0,294.977,8.449818746001725
2022-08-01,1.0,2.7,6.2,295.209,8.218806476800754
2022-09-01,1.0,2.6,6.6,296.341,8.19827154994579
2022-10-01,1.0,2.6,6.4,297.863,7.7519407887596925
2022-11-01,1.0,2.7,6.5,298.648,7.119465995215202
2022-12-01,1.0,2.7,6.7,298.812,6.411498247913161
