Time,Excellent,Good,Excellent_Good,date
2025,0.1,0.34,0.44000000000000006,2025-01-01
2024,0.11,0.35,0.45999999999999996,2024-01-01
2023,0.08,0.37,0.45,2023-01-01
2022,0.1,0.36,0.45999999999999996,2022-01-01
2021,0.12,0.45,0.5700000000000001,2021-01-01
2020,0.12,0.37,0.49,2020-01-01
2019,0.12,0.44,0.56,2019-01-01
2018,0.14,0.41,0.55,2018-01-01
2017,0.11,0.41,0.52,2017-01-01
2016,0.09,0.41,0.5,2016-01-01
2015,0.07,0.39,0.46,2015-01-01
2014,0.09,0.39,0.48,2014-01-01
2013,0.07,0.38,0.45,2013-01-01
2012,0.07,0.34,0.41000000000000003,2012-01-01
2011,0.05,0.37,0.42,2011-01-01
2010,0.08,0.33,0.41000000000000003,2010-01-01
2009,0.06,0.36,0.42,2009-01-01
2008,0.07,0.38,0.45,2008-01-01
2007,0.1,0.45,0.55,2007-01-01
2006,0.1,0.41,0.51,2006-01-01
2005,0.08,0.44,0.52,2005-01-01
2004,0.09,0.42,0.51,2004-01-01
2002,0.09,0.43,0.52,2002-01-01
