date_monthly,smwg1st_Bachelors_plus,smwg1st_Less_than_Bachelors,smwg2nd_Bachelors_plus,smwg2nd_Less_than_Bachelors,smwg3rd_Bachelors_plus,smwg3rd_Less_than_Bachelors,smwg4th_Bachelors_plus,smwg4th_Less_than_Bachelors
2016m1,3.0656757,3.3808053,3.996963,3.0092521,3.0582471,2.7146814,3.010267,3.3458192
2016m2,3.0882492,3.5803466,3.7903051,3.0149803,3.2160656,2.7946844,2.9594071,3.4273283
2016m3,2.9504266,3.5872982,3.6614337,3.1268954,3.1558022,2.7120421,2.8860209,3.450413
2016m4,2.9566693,3.7031956,3.6930788,3.1510713,3.1739647,2.6368346,2.8382912,3.4086642
2016m5,2.9207971,3.7695971,3.937911,3.2309086,3.2376001,2.6429138,2.8983827,3.393652
2016m6,2.5578096,3.9126914,4.1795678,3.1589224,3.3633907,2.7059288,2.9116201,3.212038
2016m7,2.5074689,3.840625,4.118361,3.1796215,3.1104968,2.8037002,3.1112568,3.0222185
2016m8,2.7539477,3.9524837,4.1762295,3.1916156,3.4890003,2.7013574,3.233865,3.0753756
2016m9,2.7315562,4.1682329,4.2616844,3.3655787,3.6700511,2.7348704,3.2039537,2.858144
2016m10,2.7315562,4.307795,4.2365842,3.4143565,3.9938457,2.7277622,3.2500248,2.7926793
2016m11,3.0583956,4.3094277,4.2208166,3.4641449,3.9583886,2.7952664,3.2581577,2.6262617
2016m12,3.1383493,4.3547029,4.3136592,3.3893318,3.8882725,2.7992187,3.2941165,2.7098808
2017m1,3.0844738,4.4192419,4.5286422,3.3703079,3.7114768,2.7827513,3.3662271,2.6827118
2017m2,3.5429752,4.265079,4.5829306,3.319,3.9160285,2.7241862,3.4775319,2.5719647
2017m3,3.9854443,4.3051801,4.5415926,3.2613297,3.9398406,2.6919794,3.5892549,2.8136933
2017m4,4.1532845,4.2259879,4.5881014,3.1326962,3.9895675,2.7478423,3.5927401,2.8613713
2017m5,3.8326654,4.1740665,4.4178619,3.1223755,4.0055037,2.7510273,3.5776772,2.8146694
2017m6,3.9911766,3.9730473,4.1735234,3.1729581,4.0531974,2.609175,3.6378894,3.0040302
2017m7,4.3174829,4.0639644,4.0468049,3.125083,4.2438078,2.6890893,3.6207087,2.9689279
2017m8,4.5754037,4.0639644,4.0578456,3.0373075,4.2125654,2.8224041,3.4917457,2.9601169
2017m9,4.7037048,3.9826264,3.69768,2.852263,4.3171964,2.9089351,3.436717,3.175802
2017m10,4.3035259,3.8437345,3.9990067,2.8393197,4.2197099,2.8076055,3.30358,3.1890528
2017m11,4.3168697,3.7391305,4.2554374,2.8577292,4.1092873,2.673538,3.24999,3.2499309
2017m12,4.4077654,3.6569998,4.0624695,2.9001622,4.1625404,2.5947437,3.2977138,3.2122691
2018m1,4.3507385,3.7047379,3.8410969,2.8521578,4.358376,2.6629241,3.2071056,3.2740505
