date_monthly,smwg1st,smwg2nd,smwg3rd,smwg4th
2016m1,3.3603086,3.1968682,2.9616833,3.1375885
2016m2,3.5003345,3.1923451,3.0578983,3.1236959
2016m3,3.4531081,3.2468817,3.0051465,3.0563591
2016m4,3.5517771,3.2345071,2.9628382,3.0193434
2016m5,3.5915544,3.3723905,3.0120494,3.0486426
2016m6,3.7123165,3.3601739,3.0672839,3.0321424
2016m7,3.6325712,3.3502591,3.0378866,3.1178565
2016m8,3.7711048,3.3929429,3.084249,3.2222507
2016m9,3.9461486,3.5449624,3.212079,3.1265388
2016m10,4.062789,3.5779741,3.3483477,3.1429386
2016m11,4.1109591,3.6046503,3.3413711,3.1032217
2016m12,4.1716666,3.5376465,3.3039298,3.1371784
2017m1,4.2186713,3.53192,3.2028785,3.1851358
2017m2,4.1386538,3.4925301,3.2386529,3.2052476
2017m3,4.2421865,3.4470725,3.2377694,3.3462353
2017m4,4.219842,3.3694305,3.2876287,3.3462467
2017m5,4.1226482,3.2893825,3.2653015,3.298775
2017m6,3.9235294,3.2929037,3.217247,3.3950157
2017m7,4.0393486,3.2387156,3.3343005,3.3529153
2017m8,4.0828967,3.1554503,3.3853066,3.2855406
2017m9,4.0164952,2.9253623,3.4288254,3.3110838
2017m10,3.8697751,2.9432156,3.3360856,3.2259259
2017m11,3.7774081,3.0052819,3.195436,3.2177932
2017m12,3.7255144,3.027082,3.1479974,3.2623737
2018m1,3.7547033,2.9850576,3.2835338,3.2128797
2018m2,3.7956216,3.0285437,3.1187072,3.1332154
2018m3,3.7956216,3.0959623,3.1187072,3.1163726
2018m4,3.8201392,3.1332169,2.9995043,3.0183735
2018m5,3.8395903,3.0574057,2.9641721,2.98908
2018m6,4.0562491,2.967618,3.1054268,2.9524603
2018m7,4.0012574,2.9827569,3.0949385,2.8767395
2018m8,4.0184927,3.0323129,3.0501881,2.8288047
2018m9,4.0848951,3.0502391,2.9404316,2.8352435
2018m10,4.212379,3.0452816,2.9584253,2.9616144
2018m11,4.3026876,2.9886017,3.1668794,3.0906837
2018m12,4.3843908,3.0335255,3.3380258,3.0002813
2019m1,4.5153351,3.0403309,3.2930429,3.0217798
2019m2,4.5058165,2.9908376,3.4017105,3.0661206
2019m3,4.4260712,2.9766159,3.4797354,2.9849894
2019m4,4.4599075,3.0792696,3.5680368,3.0589886
2019m5,4.4503889,3.2088299,3.5779462,3.1479208
2019m6,4.5377722,3.2894497,3.6303749,3.0803366
2019m7,4.4836168,3.3644962,3.6840389,3.2214775
2019m8,4.4326625,3.4431458,3.6027677,3.2017429
2019m9,4.4766374,3.5535967,3.650727,3.1925454
2019m10,4.4362965,3.5107117,3.7399895,3.0562038
2019m11,4.5285296,3.5440269,3.6132498,2.9194787
2019m12,4.6384053,3.515662,3.5193636,3.0189066
2020m1,4.6858277,3.558049,3.4692235,3.1185052
2020m2,4.6724834,3.7637074,3.4525704,3.0621126
2020m3,4.586051,3.7320216,3.2885706,3.1444955
2020m4,4.6480808,3.6765423,3.3013985,3.0753887
2020m5,4.6109614,3.7152364,3.388068,3.161149
2020m6,4.4196916,3.7290239,3.3299553,3.2657857
2020m7,4.4006829,3.673892,3.343226,3.2219129
2020m8,4.3563986,3.5456862,3.4488878,3.2682025
2020m9,4.278615,3.4970636,3.4771063,3.2613971
2020m10,4.35711,3.5793176,3.4049559,3.3461046
2020m11,4.2947593,3.5893526,3.3834977,3.4003825
2020m12,4.2339315,3.5860486,3.346266,3.2859733
2021m1,4.0689096,3.6748977,3.4268682,3.1938572
2021m2,4.2576985,3.519407,3.4493673,3.149755
2021m3,4.3203554,3.5293732,3.5223303,2.9414828
2021m4,4.2068148,3.3953567,3.4694195,3.0345907
2021m5,4.2595,3.3174963,3.3549001,2.912946
2021m6,4.4449697,3.2429686,3.3291216,2.9004302
2021m7,4.6682878,3.4505856,3.2501092,2.8431587
2021m8,4.9025846,3.5926921,3.21966,2.7932446
2021m9,5.0350132,3.7854564,3.2097144,2.7268372
2021m10,5.1208358,3.8555179,3.2107594,2.716207
2021m11,5.2010536,3.9308529,3.2586648,2.6820784
2021m12,5.4676328,4.1094141,3.3745422,2.7979851
2022m1,5.8855476,4.2004762,3.4842224,2.9338455
2022m2,6.0112615,4.4257021,3.6803763,3.1764271
2022m3,6.2831383,4.8107753,3.7922785,3.3490899
2022m4,6.5533752,5.3183484,4.1138744,3.4518538
2022m5,6.8946204,5.7301617,4.272603,3.6211584
2022m6,7.170507,6.2399559,4.6090107,3.6588984
2022m7,7.3577809,6.3706388,4.6880231,3.7740719
2022m8,7.3688774,6.6324668,4.9586539,4.0419331
2022m9,7.4301133,6.7096038,5.2988138,4.2674327
2022m10,7.4755268,6.8350677,5.4839201,4.4912891
2022m11,7.4817305,7.1752443,5.7581658,4.766861
2022m12,7.4261332,7.1988478,5.8116407,4.8989844
2023m1,7.2429757,7.2794213,5.9273901,4.9514575
2023m2,7.1617064,7.5209513,5.9631925,5.0099468
2023m3,7.1453943,7.3162708,6.1080704,5.3357959
2023m4,6.9570122,7.0804601,5.9487443,5.4073653
2023m5,6.7832623,6.8701696,6.1383681,5.5890408
2023m6,6.5073757,6.5186558,5.9419527,5.6653147
2023m7,6.2971511,6.4004683,6.0394702,5.6954012
2023m8,6.0697851,6.31496,5.9690428,5.6464858
2023m9,5.9539037,6.1411653,5.8588662,5.6402884
2023m10,5.9370856,5.9892321,5.8249331,5.5223637
2023m11,6.0338221,5.6490555,5.7424331,5.3795371
2023m12,5.8995347,5.6558714,5.815074,5.3666916
2024m1,5.7411776,5.5078335,5.6041365,5.407052
2024m2,5.5212884,5.2289853,5.5620136,5.2519956
2024m3,5.4389796,5.2036481,5.4955411,4.9449162
2024m4,5.5702162,5.2072186,5.6332994,5.015873
2024m5,5.5037932,5.1632433,5.3751988,4.8160005
2024m6,5.3934164,5.1389866,5.4352713,4.6714635
2024m7,5.1459489,5.0309262,5.3586426,4.7170057
2024m8,5.1770778,4.8718419,5.2434316,4.7324386
2024m9,5.1398249,4.8718419,5.111279,4.8303614
2024m10,4.8441024,4.882544,4.9818487,4.9414597
2024m11,4.6245017,4.816143,4.7318411,4.9074969
2024m12,4.4591284,4.7582593,4.6113238,4.9296384
