observation_date,LNS17100000
1990-02-01,2152
1990-03-01,1964
1990-04-01,1801
1990-05-01,1931
1990-06-01,1945
1990-07-01,1818
1990-08-01,1940
1990-09-01,1764
1990-10-01,2029
1990-11-01,1975
1990-12-01,1963
1991-01-01,2016
1991-02-01,2043
1991-03-01,2091
1991-04-01,2341
1991-05-01,1979
1991-06-01,2199
1991-07-01,2057
1991-08-01,2148
1991-09-01,2247
1991-10-01,2110
1991-11-01,2123
1991-12-01,1936
1992-01-01,2425
1992-02-01,2044
1992-03-01,2117
1992-04-01,2181
1992-05-01,2161
1992-06-01,2217
1992-07-01,2301
1992-08-01,2188
1992-09-01,2241
1992-10-01,2264
1992-11-01,2252
1992-12-01,2247
1993-01-01,2180
1993-02-01,2102
1993-03-01,2181
1993-04-01,2139
1993-05-01,2217
1993-06-01,2119
1993-07-01,2243
1993-08-01,2109
1993-09-01,2023
1993-10-01,2115
1993-11-01,2163
1993-12-01,2212
1994-01-01,2171
1994-02-01,2208
1994-03-01,2194
1994-04-01,2199
1994-05-01,2249
1994-06-01,2039
1994-07-01,2141
1994-08-01,2212
1994-09-01,2166
1994-10-01,2013
1994-11-01,2111
1994-12-01,2235
1995-01-01,2062
1995-02-01,2085
1995-03-01,2044
1995-04-01,2009
1995-05-01,2035
1995-06-01,2075
1995-07-01,2060
1995-08-01,2182
1995-09-01,2062
1995-10-01,2158
1995-11-01,1969
1995-12-01,1899
1996-01-01,2035
1996-02-01,2044
1996-03-01,2022
1996-04-01,1963
1996-05-01,1994
1996-06-01,2039
1996-07-01,2007
1996-08-01,2123
1996-09-01,1976
1996-10-01,2034
1996-11-01,1947
1996-12-01,1935
1997-01-01,2187
1997-02-01,2074
1997-03-01,2056
1997-04-01,1976
1997-05-01,2051
1997-06-01,1990
1997-07-01,2097
1997-08-01,1811
1997-09-01,1836
1997-10-01,1953
1997-11-01,1900
1997-12-01,1997
1998-01-01,1896
1998-02-01,1954
1998-03-01,1876
1998-04-01,2060
1998-05-01,1759
1998-06-01,1892
1998-07-01,1883
1998-08-01,1941
1998-09-01,1942
1998-10-01,1918
1998-11-01,1941
1998-12-01,1882
1999-01-01,1864
1999-02-01,1873
1999-03-01,2039
1999-04-01,1658
1999-05-01,1867
1999-06-01,1827
