observation_date,CE16OV,UNEMPLOY
1948-01-01,58061,2034
1948-02-01,58196,2328
1948-03-01,57671,2399
1948-04-01,58291,2386
1948-05-01,57854,2118
1948-06-01,58743,2214
1948-07-01,58968,2213
1948-08-01,58456,2350
1948-09-01,58513,2302
1948-10-01,58387,2259
1948-11-01,58417,2285
1948-12-01,58740,2429
1949-01-01,58175,2596
1949-02-01,58208,2849
1949-03-01,58043,3030
1949-04-01,57747,3260
1949-05-01,57552,3707
1949-06-01,57172,3776
1949-07-01,57190,4111
1949-08-01,57397,4193
1949-09-01,57584,4049
1949-10-01,57269,4916
1949-11-01,58009,3996
1949-12-01,57845,4063
1950-01-01,57635,4026
1950-02-01,57751,3936
1950-03-01,57728,3876
1950-04-01,58583,3575
1950-05-01,58649,3434
1950-06-01,59052,3367
1950-07-01,59001,3120
1950-08-01,59797,2799
1950-09-01,59575,2774
1950-10-01,59803,2625
1950-11-01,59697,2589
1950-12-01,59429,2639
1951-01-01,59636,2305
1951-02-01,59661,2117
1951-03-01,60401,2125
1951-04-01,59889,1919
1951-05-01,60188,1856
1951-06-01,59620,1995
1951-07-01,60156,1950
1951-08-01,59994,1933
1951-09-01,59713,2067
1951-10-01,60010,2194
1951-11-01,59836,2178
1951-12-01,60497,1960
1952-01-01,60460,1972
1952-02-01,60462,1957
1952-03-01,59908,1813
1952-04-01,59909,1811
1952-05-01,60195,1863
1952-06-01,60219,1884
1952-07-01,59971,1991
1952-08-01,59790,2087
1952-09-01,60521,1936
1952-10-01,60132,1839
1952-11-01,60748,1743
1952-12-01,60954,1667
1953-01-01,61600,1839
1953-02-01,61884,1636
1953-03-01,62010,1647
1953-04-01,61444,1723
1953-05-01,61019,1596
1953-06-01,61456,1607
1953-07-01,61397,1660
1953-08-01,61151,1665
1953-09-01,60906,1821
1953-10-01,60893,1974
1953-11-01,60738,2211
1953-12-01,59977,2818
1954-01-01,60024,3077
1954-02-01,60663,3331
1954-03-01,60186,3607
1954-04-01,60185,3749
1954-05-01,59908,3767
1954-06-01,59792,3551
1954-07-01,59643,3659
1954-08-01,59853,3854
1954-09-01,60282,3927
1954-10-01,60270,3666
1954-11-01,60357,3402
1954-12-01,60116,3196
1955-01-01,60753,3157
1955-02-01,60727,2969
1955-03-01,60964,2918
1955-04-01,61515,3049
1955-05-01,61634,2747
1955-06-01,61781,2701
1955-07-01,62513,2632
1955-08-01,62797,2784
1955-09-01,62950,2678
1955-10-01,62991,2830
1955-11-01,63257,2780
1955-12-01,63684,2761
1956-01-01,63753,2666
1956-02-01,63518,2606
1956-03-01,63411,2764
1956-04-01,63614,2650
1956-05-01,63861,2861
1956-06-01,63820,2882
1956-07-01,63800,2952
1956-08-01,63972,2701
1956-09-01,64079,2635
1956-10-01,63975,2571
1956-11-01,63796,2861
1956-12-01,63910,2790
1957-01-01,63632,2796
1957-02-01,64257,2622
1957-03-01,64404,2509
1957-04-01,64047,2600
1957-05-01,63985,2710
1957-06-01,64196,2856
1957-07-01,64540,2796
1957-08-01,63959,2747
1957-09-01,64121,2943
1957-10-01,64046,3020
1957-11-01,63669,3454
1957-12-01,63922,3476
1958-01-01,63220,3875
1958-02-01,62898,4303
1958-03-01,62731,4492
1958-04-01,62631,5016
1958-05-01,62874,5021
1958-06-01,62730,4944
1958-07-01,62745,5079
1958-08-01,63012,5025
1958-09-01,63181,4821
1958-10-01,63475,4570
1958-11-01,63470,4188
1958-12-01,63549,4191
1959-01-01,63868,4068
1959-02-01,63684,3965
1959-03-01,64267,3801
1959-04-01,64768,3571
1959-05-01,64699,3479
1959-06-01,64849,3429
1959-07-01,65011,3528
1959-08-01,64844,3588
1959-09-01,64770,3775
1959-10-01,64911,3910
1959-11-01,64530,4003
1959-12-01,65341,3653
1960-01-01,65347,3615
1960-02-01,65620,3329
1960-03-01,64673,3726
1960-04-01,65959,3620
1960-05-01,66057,3569
1960-06-01,66168,3766
1960-07-01,65909,3836
1960-08-01,65895,3946
1960-09-01,66267,3884
1960-10-01,65632,4252
1960-11-01,66109,4330
1960-12-01,65778,4617
1961-01-01,65776,4671
1961-02-01,65588,4832
1961-03-01,65850,4853
1961-04-01,65374,4893
1961-05-01,65449,5003
1961-06-01,65993,4885
1961-07-01,65608,4928
1961-08-01,65852,4682
1961-09-01,65541,4676
1961-10-01,65919,4573
1961-11-01,66081,4295
1961-12-01,65900,4177
1962-01-01,66108,4081
1962-02-01,66538,3871
1962-03-01,66493,3921
1962-04-01,66372,3906
1962-05-01,66688,3863
1962-06-01,66670,3844
1962-07-01,66483,3819
1962-08-01,66968,4013
1962-09-01,67192,3961
1962-10-01,67114,3803
1962-11-01,66847,4024
1962-12-01,66947,3907
1963-01-01,67072,4074
1963-02-01,67024,4238
1963-03-01,67351,4072
1963-04-01,67642,4055
1963-05-01,67615,4217
1963-06-01,67649,3977
1963-07-01,67905,4051
1963-08-01,67908,3878
1963-09-01,68174,3957
1963-10-01,68294,3987
1963-11-01,68267,4151
1963-12-01,68213,3975
1964-01-01,68327,4029
1964-02-01,68751,3932
1964-03-01,68763,3950
1964-04-01,69356,3918
1964-05-01,69631,3764
1964-06-01,69218,3814
1964-07-01,69399,3608
1964-08-01,69463,3655
1964-09-01,69578,3712
1964-10-01,69582,3726
1964-11-01,69735,3551
1964-12-01,69814,3651
1965-01-01,69997,3572
1965-02-01,70127,3730
1965-03-01,70439,3510
1965-04-01,70633,3595
1965-05-01,71034,3432
1965-06-01,71025,3387
1965-07-01,71460,3301
1965-08-01,71362,3254
1965-09-01,71286,3216
1965-10-01,71695,3143
1965-11-01,71724,3073
1965-12-01,72062,3031
1966-01-01,72198,2988
1966-02-01,72134,2820
1966-03-01,72188,2887
1966-04-01,72510,2828
1966-05-01,72497,2950
1966-06-01,72775,2872
1966-07-01,72860,2876
1966-08-01,73146,2900
1966-09-01,73258,2798
1966-10-01,73401,2798
1966-11-01,73840,2770
1966-12-01,73729,2912
1967-01-01,73671,2968
1967-02-01,73606,2915
1967-03-01,73439,2889
1967-04-01,73882,2895
1967-05-01,73844,2929
1967-06-01,74278,2992
1967-07-01,74520,2944
1967-08-01,74767,2945
1967-09-01,74854,2958
1967-10-01,75051,3143
1967-11-01,75125,3066
1967-12-01,75473,3018
