observation_date,CP_GDP
1947-01-01,0.09035
1947-04-01,0.08452
1947-07-01,0.08239
1947-10-01,0.08643
1948-01-01,0.08933
1948-04-01,0.09150
1948-07-01,0.08793
1948-10-01,0.08475
1949-01-01,0.07884
1949-04-01,0.07065
1949-07-01,0.07262
1949-10-01,0.07190
1950-01-01,0.07135
1950-04-01,0.08201
1950-07-01,0.09339
1950-10-01,0.09871
1951-01-01,0.07841
1951-04-01,0.06565
1951-07-01,0.05913
1951-10-01,0.06343
1952-01-01,0.06131
1952-04-01,0.05898
1952-07-01,0.05872
1952-10-01,0.06237
1953-01-01,0.06343
1953-04-01,0.06294
1953-07-01,0.06187
1953-10-01,0.05014
1954-01-01,0.05689
1954-04-01,0.05835
1954-07-01,0.06090
1954-10-01,0.06383
1955-01-01,0.06920
1955-04-01,0.06895
1955-07-01,0.06937
1955-10-01,0.07119
1956-01-01,0.06959
1956-04-01,0.07051
1956-07-01,0.06696
1956-10-01,0.06923
1957-01-01,0.06849
1957-04-01,0.06543
1957-07-01,0.06314
1957-10-01,0.05880
1958-01-01,0.05184
1958-04-01,0.05212
1958-07-01,0.05571
1958-10-01,0.06097
1959-01-01,0.06409
1959-04-01,0.06782
1959-07-01,0.06179
1959-10-01,0.06046
1960-01-01,0.06379
1960-04-01,0.05972
1960-07-01,0.05686
1960-10-01,0.05539
1961-01-01,0.05362
1961-04-01,0.05521
1961-07-01,0.05693
1961-10-01,0.05958
1962-01-01,0.05925
1962-04-01,0.05857
1962-07-01,0.05945
1962-10-01,0.06054
1963-01-01,0.05905
1963-04-01,0.06138
1963-07-01,0.06153
1963-10-01,0.06222
1964-01-01,0.06630
1964-04-01,0.06542
1964-07-01,0.06577
1964-10-01,0.06478
1965-01-01,0.07063
1965-04-01,0.07200
1965-07-01,0.07142
1965-10-01,0.07330
1966-01-01,0.07304
1966-04-01,0.07277
1966-07-01,0.07125
1966-10-01,0.06902
1967-01-01,0.06533
1967-04-01,0.06509
1967-07-01,0.06535
1967-10-01,0.06750
1968-01-01,0.06468
1968-04-01,0.06478
1968-07-01,0.06418
1968-10-01,0.06467
1969-01-01,0.06241
1969-04-01,0.05980
1969-07-01,0.05693
1969-10-01,0.05569
1970-01-01,0.05263
1970-04-01,0.05171
1970-07-01,0.05168
1970-10-01,0.04901
1971-01-01,0.05299
1971-04-01,0.05398
1971-07-01,0.05650
1971-10-01,0.05775
1972-01-01,0.05915
1972-04-01,0.05830
1972-07-01,0.05967
1972-10-01,0.06282
1973-01-01,0.06936
1973-04-01,0.07004
1973-07-01,0.07055
1973-10-01,0.07197
1974-01-01,0.07555
1974-04-01,0.07552
1974-07-01,0.07760
1974-10-01,0.06746
1975-01-01,0.05860
1975-04-01,0.06018
1975-07-01,0.06774
1975-10-01,0.07043
1976-01-01,0.07289
1976-04-01,0.07372
1976-07-01,0.07359
1976-10-01,0.07191
1977-01-01,0.07534
1977-04-01,0.07722
1977-07-01,0.07795
1977-10-01,0.07681
1978-01-01,0.07806
1978-04-01,0.08181
1978-07-01,0.08253
1978-10-01,0.08474
1979-01-01,0.08424
1979-04-01,0.08536
1979-07-01,0.08472
1979-10-01,0.08169
1980-01-01,0.08000
1980-04-01,0.06951
1980-07-01,0.07062
1980-10-01,0.06968
1981-01-01,0.06784
1981-04-01,0.06327
1981-07-01,0.06291
1981-10-01,0.06147
1982-01-01,0.05542
1982-04-01,0.05501
1982-07-01,0.05305
1982-10-01,0.05067
1983-01-01,0.05009
1983-04-01,0.05401
1983-07-01,0.05549
1983-10-01,0.05545
1984-01-01,0.05610
1984-04-01,0.05497
1984-07-01,0.05187
1984-10-01,0.05137
1985-01-01,0.04819
1985-04-01,0.04764
1985-07-01,0.04749
1985-10-01,0.04720
1986-01-01,0.03875
1986-04-01,0.03767
1986-07-01,0.03709
1986-10-01,0.03806
1987-01-01,0.04059
1987-04-01,0.04590
1987-07-01,0.04826
1987-10-01,0.04865
1988-01-01,0.04972
1988-04-01,0.05137
1988-07-01,0.05033
1988-10-01,0.05163
1989-01-01,0.05055
1989-04-01,0.04867
1989-07-01,0.04615
1989-10-01,0.04576
1990-01-01,0.04645
1990-04-01,0.04782
1990-07-01,0.04807
1990-10-01,0.04802
1991-01-01,0.04963
1991-04-01,0.04971
1991-07-01,0.05002
1991-10-01,0.05046
1992-01-01,0.05183
1992-04-01,0.05325
1992-07-01,0.05005
1992-10-01,0.05030
1993-01-01,0.04973
1993-04-01,0.05126
1993-07-01,0.05262
1993-10-01,0.05453
1994-01-01,0.05808
1994-04-01,0.05899
1994-07-01,0.06131
1994-10-01,0.06212
1995-01-01,0.06348
1995-04-01,0.06613
1995-07-01,0.06629
1995-10-01,0.06651
1996-01-01,0.06827
1996-04-01,0.06726
1996-07-01,0.06607
1996-10-01,0.06670
1997-01-01,0.06749
1997-04-01,0.06861
1997-07-01,0.07021
1997-10-01,0.06981
1998-01-01,0.06081
1998-04-01,0.06003
1998-07-01,0.05869
1998-10-01,0.05585
1999-01-01,0.05870
1999-04-01,0.05969
1999-07-01,0.05877
1999-10-01,0.05970
2000-01-01,0.05649
2000-04-01,0.05458
2000-07-01,0.05371
2000-10-01,0.05111
2001-01-01,0.05376
2001-04-01,0.05489
2001-07-01,0.05021
2001-10-01,0.04809
2002-01-01,0.05179
2002-04-01,0.05645
2002-07-01,0.06095
2002-10-01,0.06711
2003-01-01,0.06618
2003-04-01,0.06564
2003-07-01,0.06787
2003-10-01,0.07137
2004-01-01,0.08008
2004-04-01,0.08232
2004-07-01,0.08472
2004-10-01,0.08348
2005-01-01,0.09919
2005-04-01,0.10004
2005-07-01,0.10190
2005-10-01,0.10564
2006-01-01,0.10540
2006-04-01,0.10709
2006-07-01,0.10781
2006-10-01,0.10345
2007-01-01,0.09739
2007-04-01,0.10155
2007-07-01,0.09679
2007-10-01,0.09738
2008-01-01,0.09014
2008-04-01,0.09068
2008-07-01,0.08621
2008-10-01,0.05293
2009-01-01,0.07802
2009-04-01,0.08340
2009-07-01,0.09567
2009-10-01,0.10233
2010-01-01,0.10640
2010-04-01,0.10419
2010-07-01,0.10874
2010-10-01,0.10761
2011-01-01,0.09861
2011-04-01,0.10157
2011-07-01,0.10175
2011-10-01,0.10551
2012-01-01,0.12051
2012-04-01,0.11477
2012-07-01,0.11511
2012-10-01,0.11254
2013-01-01,0.11000
2013-04-01,0.10903
2013-07-01,0.10986
2013-10-01,0.11129
2014-01-01,0.10747
2014-04-01,0.11146
2014-07-01,0.11295
2014-10-01,0.11041
2015-01-01,0.10391
2015-04-01,0.10388
2015-07-01,0.10015
2015-10-01,0.09475
2016-01-01,0.09748
2016-04-01,0.09969
2016-07-01,0.09832
2016-10-01,0.10094
2017-01-01,0.10610
2017-04-01,0.10391
2017-07-01,0.10468
2017-10-01,0.09307
2018-01-01,0.09774
2018-04-01,0.10025
2018-07-01,0.09685
2018-10-01,0.09637
2019-01-01,0.09687
2019-04-01,0.09624
2019-07-01,0.09614
2019-10-01,0.09670
2020-01-01,0.09311
2020-04-01,0.09389
2020-07-01,0.11777
2020-10-01,0.10866
2021-01-01,0.11990
2021-04-01,0.12822
2021-07-01,0.12343
2021-10-01,0.11651
2022-01-01,0.11494
2022-04-01,0.11951
2022-07-01,0.11363
2022-10-01,0.10603
2023-01-01,0.10791
2023-04-01,0.10888
2023-07-01,0.11138
2023-10-01,0.11449
2024-01-01,0.11581
2024-04-01,0.11762
2024-07-01,0.11585
2024-10-01,0.12217
