date,delta_w_switch,delta_w_stay,diff,P,P_12m_change
2020-11-01,5.3,2.9,2.4,260.895,1.169540753609244
2020-12-01,5.7,3.0,2.7,262.005,1.3049530216912242
2021-01-01,6.0,3.1,2.9,262.518,1.3951009246599089
2021-02-01,6.3,3.0,3.3,263.583,1.6729284154818336
2021-03-01,7.3,3.0,4.3,264.91,2.6186325779585795
2021-04-01,7.7,3.7,4.0,266.752,4.148739292379555
2021-05-01,8.0,4.1,3.9000000000000004,268.452,4.926362527750849
2021-06-01,9.2,4.4,4.799999999999999,270.664,5.315092372103147
2021-07-01,10.7,4.9,5.799999999999999,271.994,5.25757716479367
2021-08-01,11.2,5.2,5.999999999999999,272.789,5.175312107215291
2021-09-01,11.9,5.6,6.300000000000001,273.887,5.361010344257178
2021-10-01,12.8,5.9,6.9,276.434,6.219044069333601
2021-11-01,13.3,6.3,7.000000000000001,278.799,6.862530903236941
2021-12-01,14.3,6.5,7.800000000000001,280.808,7.176580599606885
2022-01-01,14.4,6.8,7.6000000000000005,282.39,7.5697666445729395
2022-02-01,15.3,7.2,8.100000000000001,284.535,7.948919315737357
2022-03-01,16.0,7.6,8.4,287.553,8.547431203050081
2022-04-01,16.1,7.7,8.400000000000002,288.764,8.251859404990402
2022-05-01,16.0,7.8,8.2,291.359,8.532996587844366
2022-06-01,16.0,7.8,8.2,294.996,8.989743741317646
2022-07-01,15.8,7.6,8.200000000000001,294.977,8.449818746001725
2022-08-01,15.4,7.7,7.7,295.209,8.218806476800754
2022-09-01,15.1,7.8,7.3,296.341,8.19827154994579
2022-10-01,14.4,7.7,6.7,297.863,7.7519407887596925
2022-11-01,13.8,7.6,6.200000000000001,298.648,7.119465995215202
2022-12-01,13.8,7.4,6.4,298.812,6.411498247913161
2023-01-01,13.4,7.4,6.0,300.356,6.362123304649603
2023-02-01,12.6,7.3,5.3,301.509,5.965522694923298
2023-03-01,12.9,6.9,6.0,301.744,4.935090226845151
2023-04-01,12.1,6.6,5.5,303.032,4.941059134795189
2023-05-01,11.3,6.5,4.800000000000001,303.365,4.120689595996696
2023-06-01,10.8,6.4,4.4,304.003,3.053261739142221
2023-07-01,9.9,6.1,3.8000000000000007,304.628,3.271780511700917
2023-08-01,9.5,6.0,3.5,306.187,3.718721312697104
2023-09-01,8.8,5.8,3.000000000000001,307.288,3.6940551594278226
2023-10-01,8.4,5.7,2.7,307.531,3.2457874929078256
2023-11-01,8.3,5.6,2.700000000000001,308.024,3.1394819319064515
2023-12-01,8.3,5.4,2.9000000000000004,308.742,3.3231597124613543
2024-01-01,7.7,5.3,2.4000000000000004,309.685,3.1059809026621865
2024-02-01,7.6,5.1,2.5,311.054,3.1657429794798686
2024-03-01,7.8,5.0,2.8,312.23,3.475131237075124
2024-04-01,7.6,5.0,2.5999999999999996,313.207,3.3577311967053047
2024-05-01,7.5,5.0,2.5,313.225,3.2502101428971697
2024-06-01,7.3,4.9,2.3999999999999995,313.049,2.975628529981611
2024-07-01,7.1,4.8,2.3,313.534,2.923565791719729
2024-08-01,7.1,4.8,2.3,314.121,2.5912269299480206
2024-09-01,6.6,4.7,1.8999999999999995,314.686,2.4075134727031156
2024-10-01,6.7,4.7,2.0,315.454,2.5763256387161038
2024-11-01,6.8,4.7,2.0999999999999996,316.441,2.732579279536651
2024-12-01,6.9,4.6,2.3000000000000007,317.685,2.8965932720523835
