date,profit_share
1947-01-01,9.035
1947-04-01,8.452
1947-07-01,8.239
1947-10-01,8.643
1948-01-01,8.933
1948-04-01,9.15
1948-07-01,8.793
1948-10-01,8.475000000000001
1949-01-01,7.8839999999999995
1949-04-01,7.065
1949-07-01,7.2620000000000005
1949-10-01,7.19
1950-01-01,7.135
1950-04-01,8.201
1950-07-01,9.339
1950-10-01,9.871
1951-01-01,7.840999999999999
1951-04-01,6.565
1951-07-01,5.913
1951-10-01,6.343
1952-01-01,6.131
1952-04-01,5.898
1952-07-01,5.872
1952-10-01,6.237
1953-01-01,6.343
1953-04-01,6.294
1953-07-01,6.187
1953-10-01,5.013999999999999
1954-01-01,5.689
1954-04-01,5.835
1954-07-01,6.09
1954-10-01,6.383
1955-01-01,6.92
1955-04-01,6.895
1955-07-01,6.937
1955-10-01,7.119000000000001
1956-01-01,6.959
1956-04-01,7.051
1956-07-01,6.696000000000001
1956-10-01,6.923
1957-01-01,6.848999999999999
1957-04-01,6.543
1957-07-01,6.314
1957-10-01,5.88
1958-01-01,5.183999999999999
1958-04-01,5.212
1958-07-01,5.571000000000001
1958-10-01,6.097
1959-01-01,6.409
1959-04-01,6.782000000000001
1959-07-01,6.178999999999999
1959-10-01,6.046
1960-01-01,6.379
1960-04-01,5.972
1960-07-01,5.686
1960-10-01,5.539000000000001
1961-01-01,5.362
1961-04-01,5.521
1961-07-01,5.6930000000000005
1961-10-01,5.958
1962-01-01,5.925
1962-04-01,5.856999999999999
1962-07-01,5.945
1962-10-01,6.053999999999999
1963-01-01,5.905
1963-04-01,6.138
1963-07-01,6.1530000000000005
1963-10-01,6.2219999999999995
1964-01-01,6.63
1964-04-01,6.542000000000001
1964-07-01,6.577
1964-10-01,6.478000000000001
1965-01-01,7.063
1965-04-01,7.199999999999999
1965-07-01,7.1419999999999995
1965-10-01,7.33
1966-01-01,7.303999999999999
1966-04-01,7.277
1966-07-01,7.124999999999999
1966-10-01,6.902
1967-01-01,6.5329999999999995
1967-04-01,6.5089999999999995
1967-07-01,6.535
1967-10-01,6.75
1968-01-01,6.468
1968-04-01,6.478000000000001
1968-07-01,6.418
1968-10-01,6.4670000000000005
1969-01-01,6.241
1969-04-01,5.9799999999999995
1969-07-01,5.6930000000000005
1969-10-01,5.569
1970-01-01,5.263
1970-04-01,5.171
1970-07-01,5.167999999999999
1970-10-01,4.901
1971-01-01,5.299
1971-04-01,5.398
1971-07-01,5.65
1971-10-01,5.775
1972-01-01,5.915
1972-04-01,5.83
1972-07-01,5.9670000000000005
1972-10-01,6.282
1973-01-01,6.936000000000001
1973-04-01,7.0040000000000004
1973-07-01,7.055
1973-10-01,7.197000000000001
1974-01-01,7.555000000000001
1974-04-01,7.5520000000000005
1974-07-01,7.76
1974-10-01,6.746
1975-01-01,5.86
1975-04-01,6.018
1975-07-01,6.773999999999999
1975-10-01,7.043000000000001
1976-01-01,7.289
1976-04-01,7.371999999999999
1976-07-01,7.359
1976-10-01,7.191
1977-01-01,7.534000000000001
1977-04-01,7.7219999999999995
1977-07-01,7.795000000000001
1977-10-01,7.681
1978-01-01,7.806
1978-04-01,8.181
1978-07-01,8.253
1978-10-01,8.474
1979-01-01,8.424
1979-04-01,8.536000000000001
1979-07-01,8.472
1979-10-01,8.169
1980-01-01,8.0
1980-04-01,6.9510000000000005
1980-07-01,7.062
1980-10-01,6.968000000000001
1981-01-01,6.784
1981-04-01,6.327000000000001
1981-07-01,6.2909999999999995
1981-10-01,6.146999999999999
1982-01-01,5.542
1982-04-01,5.501
1982-07-01,5.305
1982-10-01,5.067
1983-01-01,5.009
1983-04-01,5.401
1983-07-01,5.5489999999999995
1983-10-01,5.545
1984-01-01,5.609999999999999
1984-04-01,5.497
1984-07-01,5.187
1984-10-01,5.137
1985-01-01,4.819
1985-04-01,4.764
1985-07-01,4.749
1985-10-01,4.72
1986-01-01,3.875
1986-04-01,3.7670000000000003
1986-07-01,3.7089999999999996
1986-10-01,3.8059999999999996
1987-01-01,4.059
1987-04-01,4.590000000000001
1987-07-01,4.826
1987-10-01,4.865
1988-01-01,4.972
1988-04-01,5.137
1988-07-01,5.033
1988-10-01,5.163
1989-01-01,5.055
1989-04-01,4.867
1989-07-01,4.614999999999999
1989-10-01,4.5760000000000005
1990-01-01,4.645
1990-04-01,4.782
1990-07-01,4.807
1990-10-01,4.802
1991-01-01,4.963
1991-04-01,4.971
1991-07-01,5.002
1991-10-01,5.045999999999999
1992-01-01,5.183
1992-04-01,5.325
1992-07-01,5.005
1992-10-01,5.029999999999999
1993-01-01,4.973000000000001
1993-04-01,5.126
1993-07-01,5.2620000000000005
1993-10-01,5.453
1994-01-01,5.808
1994-04-01,5.899
1994-07-01,6.131
1994-10-01,6.212
1995-01-01,6.348
1995-04-01,6.6129999999999995
1995-07-01,6.6290000000000004
1995-10-01,6.651
1996-01-01,6.827
1996-04-01,6.726
1996-07-01,6.607
1996-10-01,6.67
1997-01-01,6.749
1997-04-01,6.861000000000001
1997-07-01,7.020999999999999
1997-10-01,6.981
1998-01-01,6.081
1998-04-01,6.003
1998-07-01,5.869
1998-10-01,5.585
1999-01-01,5.87
1999-04-01,5.969
1999-07-01,5.877000000000001
1999-10-01,5.970000000000001
2000-01-01,5.649
2000-04-01,5.457999999999999
2000-07-01,5.371
2000-10-01,5.111000000000001
2001-01-01,5.376
2001-04-01,5.489
2001-07-01,5.021
2001-10-01,4.809
2002-01-01,5.179
2002-04-01,5.645
2002-07-01,6.095
2002-10-01,6.711
2003-01-01,6.618
2003-04-01,6.564
2003-07-01,6.787
2003-10-01,7.1370000000000005
2004-01-01,8.008
2004-04-01,8.232000000000001
2004-07-01,8.472
2004-10-01,8.347999999999999
2005-01-01,9.919
2005-04-01,10.004
2005-07-01,10.190000000000001
2005-10-01,10.564
2006-01-01,10.54
2006-04-01,10.709
2006-07-01,10.781
2006-10-01,10.345
2007-01-01,9.739
2007-04-01,10.155
2007-07-01,9.679
2007-10-01,9.738
2008-01-01,9.014
2008-04-01,9.068
2008-07-01,8.620999999999999
2008-10-01,5.293
2009-01-01,7.8020000000000005
2009-04-01,8.34
2009-07-01,9.567
2009-10-01,10.233
2010-01-01,10.639999999999999
2010-04-01,10.419
2010-07-01,10.874
2010-10-01,10.761
2011-01-01,9.861
2011-04-01,10.157
2011-07-01,10.174999999999999
2011-10-01,10.551
2012-01-01,12.051
2012-04-01,11.477
2012-07-01,11.511000000000001
2012-10-01,11.254
2013-01-01,11.0
2013-04-01,10.903
2013-07-01,10.986
2013-10-01,11.129
2014-01-01,10.747
2014-04-01,11.146
2014-07-01,11.295
2014-10-01,11.040999999999999
2015-01-01,10.391
2015-04-01,10.388
2015-07-01,10.015
2015-10-01,9.475
2016-01-01,9.748
2016-04-01,9.969
2016-07-01,9.832
2016-10-01,10.094
2017-01-01,10.61
2017-04-01,10.391
2017-07-01,10.468
2017-10-01,9.307
2018-01-01,9.774
2018-04-01,10.025
2018-07-01,9.685
2018-10-01,9.637
2019-01-01,9.687
2019-04-01,9.624
2019-07-01,9.614
2019-10-01,9.67
2020-01-01,9.311
2020-04-01,9.389
2020-07-01,11.777
2020-10-01,10.866000000000001
2021-01-01,11.99
2021-04-01,12.822
2021-07-01,12.343
2021-10-01,11.651
2022-01-01,11.494
2022-04-01,11.951
2022-07-01,11.363
2022-10-01,10.603
2023-01-01,10.791
2023-04-01,10.888
2023-07-01,11.138
2023-10-01,11.449
2024-01-01,11.581
2024-04-01,11.762
2024-07-01,11.584999999999999
2024-10-01,12.217
