periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,agg_level,geo_level_orig,geography_orig,ind_level_orig,industry_orig,ownercode_orig,firmage_orig,firmsize_orig,EE,EES,J2J,J2JS,sEE,sEES,sJ2J,sJ2JS
Q,U,N,00,A,00,A00,0,A00,A0,A0,E0,0,0,2016,1,1,N,00,A,00,A00,0,0,4091328,2325653,6172543,3363417,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E1,0,0,2016,1,17,N,00,A,00,A00,0,0,521051,284903,787198,410808,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E2,0,0,2016,1,17,N,00,A,00,A00,0,0,860197,499952,1289397,721245,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E3,0,0,2016,1,17,N,00,A,00,A00,0,0,941187,573629,1407643,830335,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E4,0,0,2016,1,17,N,00,A,00,A00,0,0,701841,480332,1072000,716419,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E0,0,0,2016,2,1,N,00,A,00,A00,0,0,4927554,2807013,6955126,3721769,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E1,0,0,2016,2,17,N,00,A,00,A00,0,0,615799,341453,874865,457401,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E2,0,0,2016,2,17,N,00,A,00,A00,0,0,1008760,597559,1418256,795369,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E3,0,0,2016,2,17,N,00,A,00,A00,0,0,1090890,676479,1519675,895308,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E4,0,0,2016,2,17,N,00,A,00,A00,0,0,798923,549125,1093237,721509,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E0,0,0,2016,3,1,N,00,A,00,A00,0,0,5538854,3183518,7797072,4377683,1,1,10,10
Q,U,N,00,A,00,A00,0,A00,A0,A0,E1,0,0,2016,3,17,N,00,A,00,A00,0,0,698341,383859,981643,525360,1,1,10,10
